machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;64;64;1;max;task;247;;cores;;250;2042361
cenva;2048;32;32;1;max;task;247;;cores;;250;2477357
cenva;2048;128;128;1;max;ordered;51;;cores;;50;408369
cenva;2048;64;64;1;max;ordered;51;;cores;;50;420394
cenva;2048;32;32;1;max;ordered;51;;cores;;50;402241
cenva;2048;128;128;1;max;ordered;126;;cores;;125;926445
cenva;2048;64;64;1;max;ordered;126;;cores;;125;923273
cenva;2048;32;32;1;max;ordered;126;;cores;;125;874549
cenva;2048;128;128;1;max;ordered;247;;cores;;250;1750006
cenva;2048;64;64;1;max;ordered;247;;cores;;250;1759133
cenva;2048;32;32;1;max;ordered;247;;cores;;250;1663432
cenva;2048;128;128;2;max;task;51;;cores;;50;243163
cenva;2048;64;64;2;max;task;51;;cores;;50;264833
cenva;2048;32;32;2;max;task;51;;cores;;50;419306
cenva;2048;128;128;2;max;task;126;;cores;;125;546813
cenva;2048;64;64;2;max;task;126;;cores;;125;592307
cenva;2048;32;32;2;max;task;126;;cores;;125;990493
cenva;2048;128;128;2;max;task;247;;cores;;250;1072378
cenva;2048;64;64;2;max;task;247;;cores;;250;1134024
cenva;2048;32;32;2;max;task;247;;cores;;250;1890472
cenva;2048;128;128;2;max;ordered;51;;cores;;50;407230
cenva;2048;64;64;2;max;ordered;51;;cores;;50;418942
cenva;2048;32;32;2;max;ordered;51;;cores;;50;402486
cenva;2048;128;128;2;max;ordered;126;;cores;;125;922283
cenva;2048;64;64;2;max;ordered;126;;cores;;125;927406
cenva;2048;32;32;2;max;ordered;126;;cores;;125;874044
cenva;2048;128;128;2;max;ordered;247;;cores;;250;1772108
cenva;2048;64;64;2;max;ordered;247;;cores;;250;1763494
cenva;2048;32;32;2;max;ordered;247;;cores;;250;1665252
cenva;2048;128;128;4;max;task;51;;cores;;50;132876
cenva;2048;64;64;4;max;task;51;;cores;;50;145502
cenva;2048;32;32;4;max;task;51;;cores;;50;235160
cenva;2048;128;128;4;max;task;126;;cores;;125;303841
cenva;2048;64;64;4;max;task;126;;cores;;125;320054
cenva;2048;32;32;4;max;task;126;;cores;;125;553630
cenva;2048;128;128;4;max;task;247;;cores;;250;580505
cenva;2048;64;64;4;max;task;247;;cores;;250;610199
cenva;2048;32;32;4;max;task;247;;cores;;250;1075013
cenva;2048;128;128;4;max;ordered;51;;cores;;50;405278
cenva;2048;64;64;4;max;ordered;51;;cores;;50;418499
cenva;2048;32;32;4;max;ordered;51;;cores;;50;411750
cenva;2048;128;128;4;max;ordered;126;;cores;;125;920768
cenva;2048;64;64;4;max;ordered;126;;cores;;125;929506
cenva;2048;32;32;4;max;ordered;126;;cores;;125;874373
cenva;2048;128;128;4;max;ordered;247;;cores;;250;1767132
cenva;2048;64;64;4;max;ordered;247;;cores;;250;1773895
cenva;2048;32;32;4;max;ordered;247;;cores;;250;1663870
cenva;2048;128;128;6;max;task;51;;cores;;50;108704
cenva;2048;64;64;6;max;task;51;;cores;;50;112886
cenva;2048;32;32;6;max;task;51;;cores;;50;232727
cenva;2048;128;128;6;max;task;126;;cores;;125;248956
cenva;2048;64;64;6;max;task;126;;cores;;125;245462
cenva;2048;32;32;6;max;task;126;;cores;;125;565540
cenva;2048;128;128;6;max;task;247;;cores;;250;480689
cenva;2048;64;64;6;max;task;247;;cores;;250;482136
cenva;2048;32;32;6;max;task;247;;cores;;250;1118353
cenva;2048;128;128;6;max;ordered;51;;cores;;50;408967
cenva;2048;64;64;6;max;ordered;51;;cores;;50;426154
cenva;2048;32;32;6;max;ordered;51;;cores;;50;402791
cenva;2048;128;128;6;max;ordered;126;;cores;;125;945520
cenva;2048;64;64;6;max;ordered;126;;cores;;125;928808
cenva;2048;32;32;6;max;ordered;126;;cores;;125;872447
cenva;2048;128;128;6;max;ordered;247;;cores;;250;1751201
cenva;2048;64;64;6;max;ordered;247;;cores;;250;1763832
cenva;2048;32;32;6;max;ordered;247;;cores;;250;1673233
cenva;2048;128;128;8;max;task;51;;cores;;50;105080
cenva;2048;64;64;8;max;task;51;;cores;;50;102648
cenva;2048;32;32;8;max;task;51;;cores;;50;234068
cenva;2048;128;128;8;max;task;126;;cores;;125;242562
cenva;2048;64;64;8;max;task;126;;cores;;125;229331
cenva;2048;32;32;8;max;task;126;;cores;;125;565120
cenva;2048;128;128;8;max;task;247;;cores;;250;467100
cenva;2048;64;64;8;max;task;247;;cores;;250;445780
cenva;2048;32;32;8;max;task;247;;cores;;250;1104171
cenva;2048;128;128;8;max;ordered;51;;cores;;50;407218
cenva;2048;64;64;8;max;ordered;51;;cores;;50;418668
cenva;2048;32;32;8;max;ordered;51;;cores;;50;403431
cenva;2048;128;128;8;max;ordered;126;;cores;;125;920776
cenva;2048;64;64;8;max;ordered;126;;cores;;125;923325
cenva;2048;32;32;8;max;ordered;126;;cores;;125;873388
cenva;2048;128;128;8;max;ordered;247;;cores;;250;1758235
cenva;2048;64;64;8;max;ordered;247;;cores;;250;1772367
cenva;2048;32;32;8;max;ordered;247;;cores;;250;1666742
cenva;2048;128;128;1;max;task;51;;cores;;50;454627
cenva;2048;64;64;1;max;task;51;;cores;;50;473655
cenva;2048;32;32;1;max;task;51;;cores;;50;579745
cenva;2048;128;128;1;max;task;126;;cores;;125;1025580
cenva;2048;64;64;1;max;task;126;;cores;;125;1053674
cenva;2048;32;32;1;max;task;126;;cores;;125;1315358
cenva;2048;128;128;1;max;task;247;;cores;;250;1953655
cenva;2048;64;64;1;max;task;247;;cores;;250;2011448
cenva;2048;32;32;1;max;task;247;;cores;;250;2547864
cenva;2048;128;128;1;max;ordered;51;;cores;;50;417345
cenva;2048;64;64;1;max;ordered;51;;cores;;50;426178
cenva;2048;32;32;1;max;ordered;51;;cores;;50;401745
cenva;2048;128;128;1;max;ordered;126;;cores;;125;925032
cenva;2048;64;64;1;max;ordered;126;;cores;;125;924478
cenva;2048;32;32;1;max;ordered;126;;cores;;125;873450
cenva;2048;128;128;1;max;ordered;247;;cores;;250;1753449
