machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;424967
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;422666
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;420828
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;423085
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;421365
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;425228
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;406198
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;415350
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;407814
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;407212
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;413944
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;404900
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;403404
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;404856
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;408521
cenva;2048;32;32;2;max;ordered;51;;unlabelled;50;404837
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;912386
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;925784
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;932424
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;927088
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;929894
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;917434
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;933290
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;929914
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;919865
cenva;2048;128;128;2;max;ordered;126;;unlabelled;125;936619
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;938989
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;947834
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;932992
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;940512
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;939911
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;934376
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;942634
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;949918
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;937970
cenva;2048;64;64;2;max;ordered;126;;unlabelled;125;935505
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;874071
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;876102
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;885874
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;882450
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;880395
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;880873
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;885389
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;889207
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;881087
cenva;2048;32;32;2;max;ordered;126;;unlabelled;125;883319
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1799622
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1770601
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1769330
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1799185
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1793719
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1808924
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1790177
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1794101
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1781377
cenva;2048;128;128;2;max;ordered;247;;unlabelled;250;1795009
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1783533
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1788105
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1781486
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1791363
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1769014
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1773520
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1764226
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1771910
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1760960
cenva;2048;64;64;2;max;ordered;247;;unlabelled;250;1749721
